name,image1,image2,price,link,product_type
Mehzabin Teal Modal Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_c06873f9-e853-408b-a76e-f7b82cad269d.jpg?v=1749640485&width=533,https://bulbulfashions.com/cdn/shop/files/2_0f28cda9-3645-4bea-874a-766b072e1172.jpg?v=1760004853&width=533,"₹1,899INR",https://bulbulfashions.com/products/mehzabin-teal-co-ord-set,coord
Pratiksha Modal Chanderi Printed Olive Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_319da55f-6561-42a1-90bc-b56946500a8b.jpg?v=1749640664&width=533,https://bulbulfashions.com/cdn/shop/files/2_e73a3562-5e84-415a-8609-f2c3a142e3ff.jpg?v=1760004700&width=533,"₹1,799INR",https://bulbulfashions.com/products/pratiksha-olive-co-ord-set,coord
Pratiksha Modal Chanderi Printed Red Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_47c45e84-f88a-4584-a99e-c77cf54beb00.jpg?v=1749640625&width=533,https://bulbulfashions.com/cdn/shop/files/1_f0019b72-e946-4c0e-a8c9-6e0dfbeb07ea.jpg?v=1760004637&width=533,"₹1,799INR",https://bulbulfashions.com/products/pratiksha-red-co-ord-set,coord
Saumya Muave Modal Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_ffc0730f-2e36-4ae9-aa34-24f36b228dcb.jpg?v=1749640796&width=533,https://bulbulfashions.com/cdn/shop/files/2_497d9c65-9168-4c88-a68f-d46c2e9b7700.jpg?v=1760004277&width=533,"₹2,999INR",https://bulbulfashions.com/products/saumya-muave-co-ord-set,coord
Saumya Rust Modal Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_1efd882d-f12f-4798-9516-51ce1c514ec3.jpg?v=1749640760&width=533,https://bulbulfashions.com/cdn/shop/files/2_8e31cb8e-bb41-404d-96b0-012ce47e9294.jpg?v=1760004229&width=533,"₹2,999INR",https://bulbulfashions.com/products/saumya-rust-co-ord-set,coord
Aneri Maroon Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07710.jpg?v=1750836602&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07726_8ef0cfe1-ce56-41eb-bf85-b5838aa98044.jpg?v=1750836603&width=533,"₹1,949INR",https://bulbulfashions.com/products/aneri-maroon-co-ord-set,coord
Aneri Teal Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07736.jpg?v=1750836618&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07746_9b36d05d-b998-4075-87ba-a2c90310d18c.jpg?v=1750836621&width=533,"₹1,949INR",https://bulbulfashions.com/products/aneri-teal-co-ord-set,coord
Anushree Chanderi Blue Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07604.jpg?v=1750836675&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07600.jpg?v=1750836677&width=533,"₹1,999INR",https://bulbulfashions.com/products/anushree-blue-co-ord-set,coord
Anushree Chanderi Pink Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07578.jpg?v=1750836687&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07582.jpg?v=1750836689&width=533,"₹1,999INR",https://bulbulfashions.com/products/anushree-pink-co-ord-set,coord
Ishika Blue Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07641_e1da935e-b59f-467d-8705-3f22b19b26f0.jpg?v=1750836894&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07644.jpg?v=1750836896&width=533,"₹1,999INR",https://bulbulfashions.com/products/ishika-blue-co-ord-set,coord
Ishika Yellow Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07640_b32df25b-81d9-4a7d-ae34-bb7fd09857c4.jpg?v=1750836908&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07622.jpg?v=1750836910&width=533,"₹1,999INR",https://bulbulfashions.com/products/ishika-yellow-co-ord-set,coord
Dhriti Light Teal Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07766_0f46554f-0089-4c9c-985c-47034033db88.jpg?v=1750836763&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07777_f8e65c84-5672-4c1d-b71b-1a4a11748837.jpg?v=1750836764&width=533,"₹1,349INR",https://bulbulfashions.com/products/dhriti-light-teal-co-ord-set,coord
Dhriti Pink Chanderi Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07754.jpg?v=1750836776&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07747_f101e627-2a72-4d37-a96a-ef3d22ccb0a8.jpg?v=1750836777&width=533,"₹1,349INR",https://bulbulfashions.com/products/dhriti-pink-co-ord-set,coord
Henna Pink Cotton Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07785_848ff0a7-cf64-45e2-9fd5-581febeb3083.jpg?v=1750837437&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07791.jpg?v=1750837438&width=533,"₹2,099INR",https://bulbulfashions.com/products/henna-co-ord-set,coord
Blue Cotton Long Lace Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/DSC07797_29a10ad9-3aa6-4d8c-8c6c-91d446d0c274.jpg?v=1750836959&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07799_70eb17f9-1f8f-46fb-910f-d4eb2bcdb1c7.jpg?v=1750836961&width=533,"₹1,899INR",https://bulbulfashions.com/products/des-bb-long-lace,coord
BulBul Women Wine Cotton Schiffli Short Dress,https://bulbulfashions.com/cdn/shop/files/BulBul_19_5.jpg?v=1750837877&width=533,https://bulbulfashions.com/cdn/shop/files/BulBul_19.jpg?v=1750837878&width=533,"₹1,199INR",https://bulbulfashions.com/products/bulbul-women-wine-cotton-schiffli-short-dress,dresses
BulBul Women Green Cotton Schiffli Short Dress,https://bulbulfashions.com/cdn/shop/files/BulBul_20.jpg?v=1750837884&width=533,https://bulbulfashions.com/cdn/shop/files/BulBul_20_16.jpg?v=1750837885&width=533,"₹1,399INR",https://bulbulfashions.com/products/bulbul-women-green-cotton-schiffli-short-dress,dresses
BulBul Women Beige Cotton Schiffli  Solid Button Front Dress,https://bulbulfashions.com/cdn/shop/files/BulBul_23_6.jpg?v=1750837891&width=533,https://bulbulfashions.com/cdn/shop/files/BulBul_23.jpg?v=1750837892&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-women-beige-cotton-schiffli-solid-button-front-dress,dresses
BulBul Women Green Cotton Schiffli Midi Dress,https://bulbulfashions.com/cdn/shop/files/BulBul_21_7.jpg?v=1750837900&width=533,https://bulbulfashions.com/cdn/shop/files/BulBul_21_1.jpg?v=1750837900&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-women-green-cotton-schiffli-midi-dress,dresses
Flowery Green Cotton Midi Dress,https://bulbulfashions.com/cdn/shop/files/DSC07682.jpg?v=1750836841&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07665.jpg?v=1750836843&width=533,"₹1,399INR",https://bulbulfashions.com/products/flowery-green-midi-dress,dresses
Flowery Orange Cotton Midi Dress,https://bulbulfashions.com/cdn/shop/files/DSC07684_2758040a-1c43-4be9-85a4-46ef20374084.jpg?v=1750836855&width=533,https://bulbulfashions.com/cdn/shop/files/DSC07697.jpg?v=1750836857&width=533,"₹1,399INR",https://bulbulfashions.com/products/flowery-orange-midi-dress,dresses
BulBul Lily Green Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09609copy.jpg?v=1747397385&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09604copy.jpg?v=1747397385&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-lily-green-printed-rayon-kurta-set,dresses
BulBul Lily Wine Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09628copy.jpg?v=1747397550&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09627copy.jpg?v=1747397550&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-lily-wine-printed-rayon-kurta-set,dresses
BulBul Lily Floral Green Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09540_2_copy.jpg?v=1750837755&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09537_2_copy.jpg?v=1750837756&width=533,"₹1,399INR",https://bulbulfashions.com/products/bulbul-lily-floral-green-printed-rayon-kurta-set,dresses
BulBul Lily Teal Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09519_2_copy.jpg?v=1750837747&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09517_2_copy.jpg?v=1750837748&width=533,"₹1,399INR",https://bulbulfashions.com/products/bulbul-lily-teal-printed-rayon-kurta-set,dresses
BulBul Lily Purple Abstract Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00172copy.jpg?v=1750837738&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00167copy.jpg?v=1750837738&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-lily-purple-abstract-printed-rayon-kurta-set,dresses
BulBul Lily Pink Abstract Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00149copy.jpg?v=1750837731&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00146copy.jpg?v=1750837731&width=533,"₹1,499INR",https://bulbulfashions.com/products/bulbul-lily-pink-abstract-printed-rayon-kurta-set,dresses
BulBul Lily Green Floral Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09482copy.jpg?v=1750837707&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09480copy1.jpg?v=1750837708&width=533,"₹1,299INR",https://bulbulfashions.com/products/bulbul-lily-green-floral-printed-rayon-kurta-set,dresses
BulBul Lily Purple Floral Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09503_2_copy.jpg?v=1750837699&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09501_2_copy.jpg?v=1750837700&width=533,"₹1,299INR",https://bulbulfashions.com/products/bulbul-lily-purple-floral-printed-rayon-kurta-set,dresses
BulBul Lily Olive Leaf Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00188copy.jpg?v=1750837714&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00185copy.jpg?v=1750837716&width=533,"₹1,199INR",https://bulbulfashions.com/products/bulbul-lily-olive-leaf-printed-rayon-kurta-set,dresses
BulBul Lily Green Leaf Printed Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC09466copy.jpg?v=1750837722&width=533,https://bulbulfashions.com/cdn/shop/files/DSC09463copy.jpg?v=1750837723&width=533,"₹1,199INR",https://bulbulfashions.com/products/bulbul-lily-green-leaf-printed-rayon-kurta-set,dresses
BulBul Hazel Purple Embellished Solid Cotton Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC00061copy.jpg?v=1750837772&width=533,https://bulbulfashions.com/cdn/shop/files/DSC00058copy.jpg?v=1750837773&width=533,"₹1,599INR",https://bulbulfashions.com/products/bulbul-hazel-purple-embellished-solid-cotton-kurta-set,dresses
