name,image,price
ZW COLLECTION EMBROIDERED BODYSUIT - Silver by Zara,https://static.zara.net/assets/public/e32c/5859/5d994d72a7ce/5d86cd17c2c5/07521200808-a1/07521200808-a1.jpg?ts=1749124299598&w=573,"₹ 8,550.00"
CONTRAST HALTER TOP - Black / White by Zara,https://static.zara.net/assets/public/e811/eeb9/36c14c1f8dc0/d9504110ff54/01165013084-a1/01165013084-a1.jpg?ts=1748591986341&w=573,"₹ 2,550.00"
ASYMMETRIC POLYAMIDE TOP - Burgundy by Zara,https://static.zara.net/assets/public/e4fd/1892/cb2e4b41bda1/89de03fd75c0/01026164605-a1/01026164605-a1.jpg?ts=1746193195723&w=573,"₹ 2,150.00"
PEPLUM WAISTCOAT ZW COLLECTION - Yellow by Zara,https://static.zara.net/assets/public/6b42/c6d1/cd954d189853/9fe09344322c/03057198300-a4/03057198300-a4.jpg?ts=1747061421750&w=573,"₹ 7,550.00"
EMBROIDERED CROPPED WAISTCOAT TOP - Ecru / Navy by Zara,https://static.zara.net/assets/public/f691/a5ed/6f5e4e4497f5/e7ad6b4a6e92/03380921066-a1/03380921066-a1.jpg?ts=1746542246291&w=573,"₹ 3,350.00"
BOATNECK TOP - striped by Zara,https://static.zara.net/assets/public/9133/f17e/d9ae414e9058/d52e3bc13b05/04174384104-p/04174384104-p.jpg?ts=1745426178651&w=573,₹ 950.00
PEPLUM WAISTCOAT - Pink by Zara,https://static.zara.net/assets/public/0bee/b6e8/6f444e9484c9/09c62c63e018/03701597620-a3/03701597620-a3.jpg?ts=1749197247335&w=573,"₹ 5,550.00"
TRF DENIM BANDEAU TOP - Dark indigo by Zara,https://static.zara.net/assets/public/46dd/a9a4/9bb04bbfbfaa/2012da4a6f48/06929363443-a1/06929363443-a1.jpg?ts=1749644612825&w=573,"₹ 2,950.00"
PLAIN KNIT WAISTCOAT TOP - Mid-blue by Zara,https://static.zara.net/assets/public/f145/33fd/628b4b029101/d06f5f686e88/04192003427-a4/04192003427-a4.jpg?ts=1746706104871&w=573,"₹ 2,950.00"
HALTER TOP - Black by Zara,https://static.zara.net/assets/public/c00f/1d4b/52ba4b8bb95b/4eb40c7ef9d4/04424308800-p/04424308800-p.jpg?ts=1749809868990&w=573,₹ 950.00
POLYAMIDE TOP WITH WIDE STRAPS - Ecru by Zara,https://static.zara.net/assets/public/32e0/15cc/5a7c4ba59e34/5e3dcb9be8d6/03905531712-p/03905531712-p.jpg?ts=1740750403397&w=573,₹ 650.00
ASYMMETRIC PLEATED T-SHIRT - Yellow by Zara,https://static.zara.net/assets/public/622a/3f08/10064b66a129/39c3b76ad292/04424311300-a2/04424311300-a2.jpg?ts=1749206459266&w=573,"₹ 1,250.00"
ASYMMETRIC POLYAMIDE TOP - Mink by Zara,https://static.zara.net/assets/public/3968/d984/486d440da2bb/ec06422c44c5/01026164706-a3/01026164706-a3.jpg?ts=1739540017305&w=573,"₹ 2,150.00"
POLKA DOT CORSETRY TOP - Oyster-white by Zara,https://static.zara.net/assets/public/5e65/65b3/66fb48f9a5ba/e2da8f337dd9/05644108251-a2/05644108251-a2.jpg?ts=1746546470042&w=573,"₹ 2,150.00"
FITTED DRAPED BODYSUIT - Blue by Zara,https://static.zara.net/assets/public/7e9a/0c03/79584028ab65/c51732531391/05039005400-a2/05039005400-a2.jpg?ts=1739467635555&w=573,"₹ 1,950.00"
SATIN HALTER TOP - Yellow by Zara,https://static.zara.net/assets/public/01da/74b3/5983470ab6c0/c988a6dcb192/03203399300-a1/03203399300-a1.jpg?ts=1745586354984&w=573,"₹ 2,350.00"
