name,image1,image2,price,link
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/B715C0A4-F7E4-4B7A-B412-972B77848B7E.jpg?v=1759599679&width=533,//bijoi.in/cdn/shop/files/4EFCE49C-C80B-40C3-831E-F1B9EF8D5DC7.jpg?v=1759599679&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-17
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/0D6A4987-EED6-442D-8731-D5D5A278C371.jpg?v=1759687748&width=533,//bijoi.in/cdn/shop/files/CF486B2F-B2D9-47F2-A851-6B416BD63C74.jpg?v=1759687749&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-21
Ajrakh Chanderi Silk Saree,//bijoi.in/cdn/shop/files/187FB85C-968F-4EA1-8287-98FF588591C5.jpg?v=1759600190&width=533,//bijoi.in/cdn/shop/files/16BDDCA2-24CB-4EEF-8AC2-767B2F1828A2.jpg?v=1759600190&width=533,"RS. 5,400.00",https://bijoi.in/products/ajrakh-chanderi-silk-saree
Ajrakh Chanderi Silk Saree,//bijoi.in/cdn/shop/files/4B50CDCA-02F9-4242-BF45-599E4FD111E9.jpg?v=1759601373&width=533,//bijoi.in/cdn/shop/files/502AC31E-D45B-48FF-8DA1-21666089D33F.jpg?v=1759601374&width=533,"RS. 5,400.00",https://bijoi.in/products/ajrakh-chanderi-silk-saree-1
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/BF8F1D45-8DD6-4E0D-A49A-26E19DFD63F9.jpg?v=1759687849&width=533,//bijoi.in/cdn/shop/files/2704CA0F-C2EE-482C-A573-EC3A8CC9B382.jpg?v=1759687850&width=533,"RS. 6,400.00",https://bijoi.in/products/ajrakh-modal-silk-saree-22
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/1CFFF20A-8143-4A0D-B93C-454A28E7DCFF.jpg?v=1759687930&width=533,//bijoi.in/cdn/shop/files/8D1D289D-D7B4-4CA0-A368-A45D397E586B.jpg?v=1759687930&width=533,"RS. 6,400.00",https://bijoi.in/products/ajrakh-modal-silk-saree-23
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/IMG_2597.jpg?v=1750937156&width=533,//bijoi.in/cdn/shop/files/IMG_2618.jpg?v=1750937179&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-15
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/9BFE16B8-AF19-4DE3-9654-E0A8ED9D6B75.jpg?v=1744375666&width=533,//bijoi.in/cdn/shop/files/896AC5B9-B4C4-4C9D-B657-A310F92CF5E0.jpg?v=1744375666&width=533,"RS. 5,900.00",https://bijoi.in/products/handblocked-ajrakh-modal-silk-saree
Ajrakh Dola Silk Saree,//bijoi.in/cdn/shop/files/B7C4451A-CF68-4B28-A4C0-D25A1C1C2BD8.jpg?v=1759764903&width=533,//bijoi.in/cdn/shop/files/C7866107-A71F-4969-B8AE-BEA0D7A96606.jpg?v=1759764902&width=533,"RS. 6,400.00",https://bijoi.in/products/ajrakh-dola-silk-saree
Ajrakh Modal Silk Saree,//bijoi.in/cdn/shop/files/0BCF71A0-51C1-4739-B7CA-2AD203F45584.jpg?v=1759767653&width=533,//bijoi.in/cdn/shop/files/828918B9-DFAB-4E17-AB98-02F71BF0BA53.jpg?v=1759767653&width=533,"RS. 5,900.00",https://bijoi.in/products/ajrakh-modal-silk-saree-29
