name,image,price,product_link,product_type
Straight Fit Textured 5 Pocket Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6427M_F0_X_EC_0","₹2,399.00",/straight-fit-textured-5-pocket-trousers/p/P60744955.html,jeans
Straight Fit Japanese Selvedge Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1525M_Y0_X_EC_0","₹2,999.00",/straight-fit-japanese-selvedge-jeans/p/P60681224.html,jeans
Tapered Fit Vintage Wash Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1667T_NJ_X_EC_0","₹1,749.00",/tapered-fit-vintage-wash-stretch-jeans/p/P60721258.html,jeans
Slim Fit Flat Front Semi Casual Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T17_8033K_F0_X_EC_0","₹1,749.00",/slim-fit-flat-front-semi-casual-trousers/p/P60705715.html,jeans
Mid Waist Textured Slim Fit Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T17_8034K_VP_X_EC_0","₹1,749.00",/mid-waist-textured-slim-fit-trousers/p/P60705713.html,jeans
Mid Waist Cotton Blend Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T17_8025K_L4_X_EC_0","₹1,999.00",/mid-waist-cotton-blend-chinos/p/P60698008.html,jeans
Loose Fit Cotton Linen Blend Elasticated Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_5382F_BE_X_EC_0","₹3,499.00",/loose-fit-cotton-linen-blend-elasticated-trousers/p/P60716477.html,jeans
Tapered Fit Cotton Linen Blend Elasticated Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_5385T_Y0_X_EC_0","₹1,999.00",/tapered-fit-cotton-linen-blend-elasticated-trousers/p/P60716995.html,jeans
Super Lightweight Tapered Fit Elasticated Waist Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6152T_Y0_X_EC_0","₹2,249.00",/super-lightweight-tapered-fit-elasticated-waist-trousers/p/P60722673.html,jeans
Seersucker Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6138M_T0_X_EC_0","₹2,249.00",/seersucker-trousers/p/P60722956.html,jeans
Slim Fit Vintage Wash Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699S_Y4_X_EC_0","₹2,099.00",/slim-fit-vintage-wash-crosshatch-jeans/p/P60730728.html,jeans
Tapered Fit Vintage Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699T_Y4_X_EC_0","₹1,749.00",/tapered-fit-vintage-crosshatch-jeans/p/P60730020.html,jeans
