name,image,price
Lyocell Blend Funnel Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2020C_T0_X_EC_0",₹790.00
Cotton Rich Round Neck Vest Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_1237T_Y0_X_EC_0","₹1,190.00"
Cotton Rich Oversized Longline Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_5823X_XH_X_EC_0","₹1,490.00"
Satin Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3624_GD_X_EC_0",₹690.00
Striped Crew Neck Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_5076B_A4_X_EC_0",₹790.00
Jersey Plisse Slash Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_1138T_Y0_X_EC_0",₹990.00
Jersey Draped Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3047_Y0_X_EC_0",₹990.00
Short Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_8339_Y0_X_EC_0","₹1,190.00"
Pure Cotton Printed Slim Fit Slash Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4288_Y0_X_EC_90",₹999.00
Checked Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_8329_Y4_X_EC_0",₹990.00
Printed Short Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_5653_E4_X_EC_0","₹1,190.00"
Draped Short Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3756_SH_X_EC_0",₹990.00
Embroidered Pure Cotton T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3193C_LN_X_EC_0",₹590.00
Pure Cotton Broderie Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2333C_Y0_X_EC_0","₹1,190.00"
Printed Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_8801_Y4_X_EC_0",₹990.00
Ribbed Collared Fitted Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_5311_M0_X_EC_0","₹1,190.00"
Faux Leather Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3870_SH_X_EC_0","₹1,790.00"
Textured Slash Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2965C_J5_X_EC_0",₹590.00
Pure Cotton Broderie Frill Detail Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_5660_P6_X_EC_0","₹1,990.00"
