name,image,price,product_link,product_type
Lyocell Rich Crinkle Collared Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_8003S_OI_X_EC_0","₹2,999.00",/lyocell-rich-crinkle-collared-shirt/p/P60746217.html,tops
Printed Collared Button Through Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0019S_Y8_X_EC_0","₹1,874.06",/printed-collared-button-through-shirt/p/P60746167.html,tops
Pure Linen Relaxed Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_8567_EK_X_EC_0","₹3,799.00",/pure-linen-relaxed-shirt/p/P60745200.html,tops
Ruffle V-Neck Poet Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_2238U_NZ_X_EC_0","₹4,499.00",/ruffle-v-neck-poet-blouse/p/P60744968.html,tops
Cotton Rich Textured Collared Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_6052_A1_X_EC_0","₹1,874.06",/cotton-rich-textured-collared-knitted-top/p/P60743483.html,tops
Modal Blend Yoga T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T51_6388_QH_X_EC_0","₹1,199.40",/modal-blend-yoga-t-shirt/p/P60736954.html,tops
Cotton Rich Garment Dye Henley Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3225E_QB_X_EC_0","₹1,874.06",/cotton-rich-garment-dye-henley-top/p/P60735142.html,tops
Denim Tie Fastening Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4160W_GJ_X_EC_0","₹2,999.00",/denim-tie-fastening-blouse/p/P60735016.html,tops
V-Neck Ruffle Tie Detail Button Through Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_8383T_KY_X_EC_0","₹3,999.00",/v-neck-ruffle-tie-detail-button-through-blouse/p/P60732129.html,tops
Pure Cotton Printed Graphic T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7159_Z4_X_EC_0",₹599.00,/pure-cotton-printed-graphic-t-shirt/p/P60726908.html?dwvar_P60726908_color=Z4,tops
Pure Merino Wool Roll Neck Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_8009_Y0_X_EC_0","₹3,499.00",/pure-merino-wool-roll-neck-jumper/p/P60614064.html,tops
Linen Rich Broderie Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0943_Z0_X_EC_0","₹2,399.40",/linen-rich-broderie-blouse/p/P60721603.html,tops
Soft Touch Collared Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_4338_ND_X_EC_0","₹3,499.00",/soft-touch-collared-knitted-top/p/P60692051.html,tops
Air-Yarn Sequin 'Falalaa' Christmas Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_8952_Y0_X_EC_0","₹2,999.00",/air-yarn-sequin-falalaa-christmas-jumper/p/P60701792.html,tops
Lace Tie Front Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0013T_KY_X_EC_0","₹2,399.40",/lace-tie-front-blouse/p/P60753694.html,tops
