name,image,price
Halter Neck Mini Swing Dress,/on/demandware.static/Sites-mnsindia-Site/-/default/dwc01c448e/images/online_exclusive.png,"₹1,490.00"
Jersey Printed Midaxi Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0832_A4_X_EC_0",₹990.00
Linen Rich Printed Round Neck Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_6831_J2_X_EC_0","₹1,490.00"
Linen Rich Knee Length Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_6830_E5_X_EC_0","₹1,790.00"
Bow Detail Round Neck Mini Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_5091_KY_X_EC_0","₹2,990.00"
Jersey Bardot Midaxi Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_3080_F0_X_EC_0","₹1,690.00"
Padded V-Neck Swim Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0005_Y0_X_EC_0","₹2,390.00"
Pure Cotton Floral Cutwork Detail Midi Tea Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_2089_ZZ_X_EC_0","₹2,990.00"
Textured V-Neck Midi Relaxed Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_8299_Y0_X_EC_0","₹2,490.00"
Pure Cotton Embroidered Midaxi Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0055_Y4_X_EC_0","₹2,490.00"
Printed V-Neck Midi Shirt Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_9867_Q6_X_EC_0","₹1,390.00"
Pure Cotton Embellished Mini Waisted Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_8611_Y4_X_EC_0","₹2,190.00"
Velvet Collared Mini Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_5101_Y0_X_EC_0","₹2,990.00"
Pure Cotton V-Neck Midaxi Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0039_Y0_X_EC_0","₹1,990.00"
Linen Rich Tie Waist Midaxi Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0657_RR_X_EC_0","₹2,990.00"
Round Neck Mini Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_4019_T0_X_EC_0","₹2,240.00"
Cotton Rich Embroidered Midi Waisted Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_3770U_Y0_X_EC_0","₹3,990.00"
Jersey Printed Midaxi Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_5046_Y4_X_EC_0","₹1,990.00"
Lace Round Neck Midi Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_9670_KY_X_EC_0","₹2,990.00"
